timestamp,time,author,message
1535718595412983,7:16,Floyd Bafana,Here wego waste of state funds
1535718909455142,12:30,Mathete Maeteletja,🤷🏽‍♂️
1535718953430205,13:14,Vukile Racaza,Waiting patiently
1535718989533720,13:50,Ishaad Mohammed,🤔i wonder wots the hold up
1535719029207665,14:30,Lunga Mzimba,they still trying to set up Skype for the video conference
1535719049173708,14:49,Thiza William,@Floyd then what needs to be done ???
1535719078836656,15:19,Edward Nndwamato,😨😨
1535719533236714,22:52,Vlerkies,😃
1535719580815790,23:41,Thabang Malibo,Were they not to setup before lunch?
1535719585780594,23:46,Orefile Macheoane,Whats taking our chairperson so long? The last piece of steak?
1535719620388752,24:21,Vlerkies,melktert
1535719698827490,25:39,iAmBlackHouston,"Peace Family, Make sure you hit the Like button, we need more people to watch"
1535719701077832,25:41,Black Panther Amen Kuma,is this color people time
1535719740505614,26:20,Vukile Racaza,If you understand technology you will know these things happen. You can prepare as much as you like
1535719743128281,26:23,iAmBlackHouston,"I'm in Houston, Texas. Family, we are in here deep"
1535719755859281,26:36,iAmBlackHouston,@Vukile Racaza Are you from South Africa?
1535719777141116,26:57,Madluphuthu,after all that speculation we now know what was causing the delay.
1535719796828006,27:17,iAmBlackHouston,Do white people have a conscious?
1535719801106887,27:21,Millicent Shozi,why we involving the americans in our affairs
1535719826369282,27:47,Hlalanathi Mbimbi,🙂😂😂😂😂😂
1535719828382903,27:49,Luckey Binali,so help me my wifi
1535719828842557,27:49,iAmBlackHouston,@Millicent Shozi Are those two white guys from America?
1535719840875719,28:01,Black Panther Amen Kuma,yeap
1535719880804427,28:41,iAmBlackHouston,@Millicent Shozi They are involved because white supremacy is global.
1535719896114953,28:56,iAmBlackHouston,@I Am Freedmen Can you explain to me what State Capture is?
1535719906827493,29:06,Ewald Kruger,😀 or Alaska @Thando Nkutha
1535719917381222,29:17,Black Panther Amen Kuma,yeap they are trying to stop this so black americans wont follow the steps
1535719953750091,29:54,Black Panther Amen Kuma,its the capture of the state land im guessing
1535719972288340,30:12,Vukile Racaza,slowly closing in on Zuma and the Guptas
1535719975181290,30:15,Jacques Swart,🗿
1535719978293441,30:18,Black Panther Amen Kuma,@iAmBlackHouston can you define it
1535719983422252,30:22,Ewald Kruger,@iAmBlackHouston it is CONSCIENCE 😀
1535719998166063,30:37,iAmBlackHouston,@I Am Freedmen What do you mean?
1535720014597643,30:55,Gabriela MichaelaM,🤔
1535720036968579,31:16,Gareth Morgan,can someone ask the judge to stop breathing so loudly or turn his mic off ?
1535720040779226,31:21,Gabriela MichaelaM,Thinking
1535720044400935,31:24,iAmBlackHouston,@Vukile Racaza Why so rude? You might be from Zambia or Ghana?
1535720051864308,31:32,Black Panther Amen Kuma,@iAmBlackHouston do you know state capture
1535720063720802,31:43,Ewald Kruger,Well-observed @Thando
1535720065237327,31:44,iAmBlackHouston,@iAmBlackHouston I'm from Texas and I'm interested in what's going on over there
1535720078529927,31:58,Millicent Shozi,where are these people from
1535720084362682,32:05,iAmBlackHouston,"@I Am Freedmen No, that's why I'm asking you"
1535720093142092,32:13,Vukile Racaza,IamBlackHouston: I see you are very intelligent hence I am letting you figure it out
1535720100090627,32:20,Black Panther Amen Kuma,oh ok
1535720124873071,32:45,Millicent Shozi,making sa a big fat joke infront of the whole world
1535720132570237,32:53,Orefile Macheoane,Wow DC in the house
1535720134488730,32:55,Nkosikhona Ginya,😂😂 what did you expect young people will say.. some dont even know whats happening
1535720135048088,32:56,Hlalanathi Mbimbi,😂
1535720135061165,32:56,iAmBlackHouston,"@Vukile Racaza I don't need the sarcasm. I'm too old for that. I'll speak with adults in the future, I didn't know you were a child."
1535720138109507,32:59,Vlerkies,that's evidence of our education system right there
1535720150251472,33:11,iAmBlackHouston,Are there any adults in here?
1535720160622091,33:20,Orefile Macheoane,I thought we told Trump and the USA to keep their distance.
1535720160965815,33:21,Madluphuthu,@Gareth Morgan when you have so much brains you need to breath heavily to prevent overheating.
1535720161725846,33:22,Vukile Racaza,"@IamBlackHuston, just ignore me"
1535720163818717,33:24,Ewald Kruger,@iAmBlackHouston I am white and am CONSCIOUS and have a CONSCIENCE. Thanks.
1535720179678244,33:40,Black Panther Amen Kuma,Its the state capturing the land then redistribute to portion of the land fairly
1535720191184235,33:52,Millicent Shozi,so this means no african brothers are expect in this?
1535720193265158,33:54,Black Panther Amen Kuma,to the peopel
1535720194753760,33:55,iAmBlackHouston,@Vukile Racaza You are blocked
1535720195089382,33:56,Ewald Kruger,😀 😀 😀 @Madluphuthu
1535720198008016,33:58,Black Panther Amen Kuma,people
1535720210984974,34:11,Vukile Racaza,@iAmBlackHouston : I care a lot.
1535720232202194,34:32,Black Panther Amen Kuma,Dr koufman is an educated racist
1535720239926445,34:41,Orefile Macheoane,@Ramushasha Naphtal Takalani its the chairperson
1535720250841362,34:51,Fils de l'homme,"freedman, why is he a racist?"
1535720254771660,34:55,TG Swartlane,@madluphuthu🤣😂😂🤣🤣🤣😂🤣😂uyabheda yaz
1535720266655156,35:07,Ewald Kruger,@iAmBlackHouston if you say so 😀 😀 😀
1535720278450935,35:19,Fils de l'homme,bantus r the most racist in the world
1535720293403959,35:33,Joseph Thobejane,the white man its on the line from where
1535720320538228,36:01,Millicent Shozi,nkukhu pls dont generise
1535720341477292,36:22,Black Panther Amen Kuma,he show prejudiced and discrimination in his field of work and business
1535720361416955,36:42,Orefile Macheoane,Eish its the colour conversation again.
1535720385759332,37:06,Vlerkies,"less typing more listening Freedmen, you may learn something."
1535720388043118,37:08,Black Panther Amen Kuma,AND HE WORK FOR THE U.S.A that should be enough
1535720409508454,37:29,Fils de l'homme,how so? frénésie
1535720425100974,37:46,Vukile Racaza,Some people here are not interested in talking about the subject at hand i.e State Capture. I am hear only for that not for racist statements
1535720437043079,37:57,iAmBlackHouston,"@Ewald Kruger Your people are the ones who oppress my people throughout the world, that proves you're evil"
1535720458137558,38:18,Fils de l'homme,"freedom, many ppl work in the USA n many places. i can tell ur level of reasoning"
1535720463585768,38:22,Orefile Macheoane,Lol
1535720464722008,38:23,Vlerkies,"You right i don't, so by all means stay stupid"
1535720472310164,38:31,iAmBlackHouston,@Thando Nkutha Do you believe Black people can be racist?
1535720480899642,38:41,Ewald Kruger,"Ndiyavuma, enkosi @Vukile Racaza"
1535720489063947,38:49,Orefile Macheoane,What is state capture?
1535720519164367,39:20,Fils de l'homme,"orefile, it means taking a picture in a state by capturing the moment"
1535720520985377,39:22,Millicent Shozi,msholozi hai you rock got the whole world rocking
1535720526368443,39:27,Orefile Macheoane,When they capture all the information about the country. Cute man 😀
1535720553088014,39:53,Cheng Master,just arrest zuma to unlock much locked
1535720561016515,39:59,Ewald Kruger,"Troll alert, this so-called iAmBlackHouston...."
1535720562574212,40:01,iAmBlackHouston,"@Orefile Macheoane ""State capture is a type of systemic political corruption in which private interests significantly influence a state's decision-making processes to their own advantage."""
1535720571423449,40:12,Paul molane,the word state capture is explanatory atleast to a minimum extent
1535720572072504,40:12,Lungelo Madiya,i fill sorry to those who are involved in this state capture thing
1535720602175976,40:43,iAmBlackHouston,@Ewald Kruger You want to turn my own people against me? You are a true devil.
1535720614921809,40:55,Black Panther Amen Kuma,SHAPE OF FORMINATION IS KEY WORD
1535720615687610,40:56,Orefile Macheoane,@iAmBlackHouston I am taking you to all universities in South africa to educate our kids
1535720616259986,40:57,Fils de l'homme,"lyngelo, why should u feel sorry for them"
1535720616774247,40:57,K,Guys who are those people on the TV?
1535720636697892,41:17,Black Panther Amen Kuma,ITS THE FORMATION SHAPE IS THE ISSUE FOR THEM
1535720653804919,41:34,Vlerkies,"oh i found a block button, bye freedman bye houston"
1535720686763399,42:07,Nkosikhona Ginya,mybe the the guys can deligate FBI to find ajay for us.
1535720693670913,42:14,Sindiswa Moolman,"in his interview on ANN7 on 13 November 2017, JZ told us that his TOR will start by requesting the Commission to define State Capture. It means somebody was listening."
1535720702192933,42:22,iAmBlackHouston,"@Orefile Macheoane I'm in the United States, let me tell you these white people are slicker than Egusi Soup."
1535720720675701,42:41,Black Panther Amen Kuma,Vlerkies feel entitled 😂😂
1535720736102036,42:56,iAmBlackHouston,@Keryn Those white guys are from the United States and they represent US Corporate interests in South Africa
1535720762077179,43:22,iAmBlackHouston,@Keryn They are here to justify why the resources in South Africa are given to foreign corporations.
1535720769206043,43:30,K,@iAmBlackHouston thank you so much !
1535720775778035,43:36,Sindiswa Moolman,I want a copy of that report for my thesis on State Capture
1535720776409556,43:37,Vukile Racaza,@Keryn International experts in the subject of State Capture
1535720794608994,43:55,Gabriela MichaelaM,😁
1535720794642849,43:55,Orefile Macheoane,Ok @iAmBlackHouston I hear you. We are all slick in a way. But we need to rise from our ashes. We cant still be hosting pity parties in 2018. Solutions > problems
1535720809514222,44:10,Gabriela MichaelaM,yep.
1535720810335545,44:11,Black Panther Amen Kuma,shaped
1535720814968754,44:15,Black Panther Amen Kuma,crazy
1535720815367185,44:16,K,@Vukile Racaza thank you boss
1535720816197676,44:17,Millicent Shozi,"i just feel so uncomfortable listening to these guys, propaganda that education comes from the west"
1535720817164498,44:18,Ramushasha Naphtal Takalani,how much are this guys paid though
1535720833330810,44:34,iAmBlackHouston,"@Orefile Macheoane The first solution, support the EFF and take back the land, now. The white people are planning to destroy the land if they have to hand it over to you."
1535720855911634,44:56,Madluphuthu,arghh somebody tell this guy he is here to answer question. why is he making a speech
1535720863739893,45:04,Black Panther Amen Kuma,adjective adjective: shaped having a defined external form or outline.
1535720866618366,45:07,Vukile Racaza,"@Ramushasha Naphtal Takalani no need to be paid, when people get invited to share their professional opinion they don't get paid."
1535720875652708,45:16,Fils de l'homme,"u guys r focusing on side issues like race of the speakers, listen to them n engage the issues"
1535720880995090,45:21,Vukile Racaza,and the other witnesses as well are not getting money
1535720893511134,45:34,iAmBlackHouston,"@Madluphuthu He's making a speech because he's really telling the South Africans that ""we don't consider State Capture to be corruption"""
1535720903118601,45:43,iAmBlackHouston,"@Madluphuthu See, how he's stuttering"
1535720926085592,46:07,Ewald Kruger,iAmBlackHouston = Jimmy Manyi 😀 😀 😀 We see you Boss...
1535720928043023,46:09,Black Panther Amen Kuma,is a state small
1535720930498790,46:10,Orefile Macheoane,Well political affiliations are a topic for another day. Lets see how we put ourself at the mercy of the Guptas
1535720933584793,46:14,iAmBlackHouston,@Madluphuthu She shouldn't let him talk so much. white people talk out of two sides of the mouth.
1535720947247858,46:27,Fils de l'homme,"iamblack, u r bewitched"
1535720964326406,46:45,iAmBlackHouston,@Orefile Macheoane Who are the Guptas? Are they Indian?
1535720973848924,46:54,Vukile Racaza,I wish I could block everyone here who is here to talk about racism.
1535720987929663,47:08,Madluphuthu,@iAmBlackHouston 😁😁😁
1535720998471150,47:19,Orefile Macheoane,What do you know about them? Fill me in..
1535721003292663,47:22,iAmBlackHouston,@Fils de l'homme I'm not bewitched. I'm from America and I know all about these white people and I'm here to tell you he is a liar sent in by the companies to steal from you.
1535721013079457,47:33,Vukile Racaza,@iAmBlackHouston attention seeker
1535721029454819,47:50,K,"Corruption is everywhere,even in the West. They just hide is better than us."
1535721030661758,47:51,iAmBlackHouston,@Vukile Racaza Why don't you ignore me?
1535721049649232,48:10,Philisiwe Khumalo,why does everything have to be about colour can't it be appreciated that these are scholars who've done thorough study on state capture and understand it better than most of us
1535721049784641,48:10,iAmBlackHouston,@Orefile Macheoane I don't know what the Gupta is or who the Guptas are? Who are the Guptas?
1535721053739343,48:14,Black Panther Amen Kuma,corruption is there only back bone
1535721054968984,48:15,Fils de l'homme,"@imblackhouston, dont think that we cant take care of ourselves we dont need ur help"
1535721057413732,48:18,Vukile Racaza,I thought you had blocked me.
1535721102268231,48:57,Vukile Racaza,Ewe makathule
1535721111001793,49:06,Black Panther Amen Kuma,the corruption of wanting there land back from being stolen ???
1535721111659975,49:07,iAmBlackHouston,"@Fils de l'homme If you were taking care of yourselves, Mandela, wouldn't have been locked up for almost 30 years"
1535721113991077,49:09,Orefile Macheoane,Lets listen to our experts and find out. They about to unpack it for us.
1535721132875560,49:28,Black Panther Amen Kuma,hypocrites
1535721145411570,49:40,iAmBlackHouston,"@I Am Freedmen No, State Capture is when resources are given to corporations instead of local people."
1535721168511277,50:04,iAmBlackHouston,@I Am Freedmen That's why these white americans are there because they are representing American Corporations stealing from you.
1535721169267587,50:04,Fils de l'homme,"@imblackhouston go away, this is our issues we dont need you to come here to waste ur time"
1535721172236217,50:08,Millicent Shozi,so far havent see one sigle impressive expert point
1535721183695549,50:19,Orefile Macheoane,"@iAmBlackHouston But the professors are giving you a definition, listen."
1535721189917542,50:25,j b,Democratic societies engage in corruption too not just communist countries. all society structures can engage in corruption. democracy has monopolies influencing the government like state capture.
1535721199065807,50:34,iAmBlackHouston,"@Orefile Macheoane I already Googled it, I don't have to listen any more"
1535721220872112,50:56,iAmBlackHouston,"@Orefile Macheoane Remember, I have unlimited internet so I'm not just on YouTube, I am everywhere"
1535721224708311,51:00,Orefile Macheoane,You are a star. (*)
1535721237663471,51:12,iAmBlackHouston,"@Fils de l'homme I'm a Black man, there's nothing white about me."
1535721248467535,51:23,Orefile Macheoane,"Great stuff, ride on comrade!"
1535721261708591,51:37,Fils de l'homme,@imblackhouston go get a job
1535721267652545,51:43,Black Panther Amen Kuma,@iAmBlackHouston i get it but its dont make sense to me can you explain
1535721304997709,52:20,Millicent Shozi,shouldnt we have head the definition at very begining of these hearings
1535721317307573,52:32,iAmBlackHouston,"@I Am Freedmen Let me give you a different way to explain it, if you have money for your kids, you get married, now your wife tries to steal from your kids, and give it to her family"
1535721324440189,52:39,Black Panther Amen Kuma,@Fils de l'homme you must be stupid you cant express yourself but go straight to personal attacks
1535721329193619,52:44,Fils de l'homme,"@i am freedman, dont listen to this @imblackhouston fellow"
1535721334669231,52:49,iAmBlackHouston,"@I Am Freedmen So, it's all about manipulation of your economy"
1535721337484647,52:52,Madluphuthu,Amazing how we now call experts from countries that suck our continent's resources dry to come n tell us what state capture means. shouldn't we be asking them when they intend stopping to exploit us?
1535721342230232,52:57,Misss Zo,Ohh realy South Africa.
1535721368337717,53:23,iAmBlackHouston,"@Madluphuthu They will never stop exploiting Black people, globally, until we make them stop."
1535721387149440,53:42,Black Panther Amen Kuma,@iAmBlackHouston but is the state is the black wife ?
1535721401114559,53:56,Fils de l'homme,"@imblackhouston, go deal with ur American issues, u r not one of us"
1535721420713752,54:15,clint moodley,must it always end with the crying of black people it was black people that helped withe sate capture
1535721428799837,54:24,iAmBlackHouston,"@I Am Freedmen It doesn't matter if she's Black or white, the point is she's robbing the original inheritors (the man's children) to give to her family"
1535721475422278,55:11,Misss Zo,No wonder their president feels we need his 2 cents opinion.
1535721501095157,55:36,iAmBlackHouston,"@Steemit OneAzania Exactly, I don't know the previous president, but that is the exact thing that they're talking about"
1535721501576134,55:37,Oscar,somebody must go to jail
1535721520181109,55:55,iAmBlackHouston,@Oscar Mwendaz They won't go to jail if they're white
1535721527332259,56:02,hub.grasstruths,@iAmBlackHouston th current prersident not the previous one
1535721531375259,56:06,Sindiswa Moolman,How much did we pay them for this presentation?
1535721552812471,56:28,Charles Nkadimeng,100million dollars
1535721554678074,56:29,Black Panther Amen Kuma,@iAmBlackHouston So these american corporation want the land??
1535721557994170,56:33,iAmBlackHouston,@Steemit OneAzania Who's the current president?
1535721567550990,56:42,Orefile Macheoane,Experts are everywhere in life. They happen to give the comission guidance on the subject matter. just as a ballistics expert would give evidence in a murder case.
1535721568253995,56:42,hub.grasstruths,@iAmBlackHouston I am sure Africans are glad to see you showing an interest but it may be best you sit and learn whats going on
1535721578826145,56:54,Sindiswa Moolman,Did we follow SCM processes when we hired them?
1535721580088867,56:55,J Ganasan,Freedman and BlackHouston - get a room you wankers
1535721592476014,57:06,clint moodley,Duh why comment if you know nothing about south africa
1535721594490150,57:08,iAmBlackHouston,"@I Am Freedmen Yes, American Corporations. Correct, not just the land but the resources, i.e. oil, gold, bauxite, bananas, coffee,"
1535721607560299,57:21,iAmBlackHouston,"@I Am Freedmen If it's worth money, the white people want it"
1535721663067832,58:17,Orefile Macheoane,where is Maleka to guide these professors.
1535721668777079,58:24,iAmBlackHouston,@Steemit OneAzania I already know what's going on. The names are minor details. The fact of the matter is that what is going on in South Africa isn't unique.
1535721670222990,58:26,hub.grasstruths,@iAmBlackHouston i suggest you refrain from using such racist references here
1535721684151871,58:39,iAmBlackHouston,@Steemit OneAzania Black people can't be racist
1535721697180584,58:52,iAmBlackHouston,@Steemit OneAzania You got the right one if you're looking to debate.
1535721707628372,59:03,hub.grasstruths,@iAmBlackHousto don't be ridiculous
1535721714208115,59:09,iAmBlackHouston,@Steemit OneAzania I'm not educated by your school system so I'll teach you something.
