timestamp,time,author,message
1542873652873585,-2:58,Lolos Mccall,.
1542873790800474,-0:41,Caroline Hawanga,It's 10:2 can we start please
1542873845935621,0:05,g k,honour to the Honest people
1542873863301763,0:22,Joseph Thobejane,gud morning guys
1542873884679173,0:43,Ken Mojela,Morning mense
1542873908226206,1:07,Ken Mojela,Fuzile is here to testify indeed
1542873926711801,1:26,FredBKevin,Morning
1542874038094197,3:17,Lolos Mccall,morning
1542874056955082,3:36,Edward Buta,Morning everyone
1542874084477781,4:03,Diketso Moyo,Morning
1542874098283052,4:17,Makwa Choma,morning
1542874177641027,5:37,Mathapelo Seopela,Morning
1542874232765017,6:32,Lennox Langa,Morning
1542874233967843,6:33,Yoliswa Jebe,Morning
1542874237775582,6:37,Hester Ferrezuelo,morning all. looking forward to today's revelations
1542874250336335,6:50,nhlanhla nkosi,guten morgen
1542874250570327,6:50,Leagilwe Magasa,Morning all
1542874259162357,6:58,bhekisisac mbhamali,Morning
1542874266682216,7:06,Gideon A Vele,Mr Fuzile testimony sounds very interesting
1542874278520049,7:18,delphin yvon Moukouma Mboussi,Bonjour
1542874287125812,7:26,Yoliswa Jebe,Screen went blank
1542874291029398,7:30,makhosi nobhatyi,Zuma and malema did something why it goes off
1542874305854364,7:45,Paki Dlomo,Kuzoba🔥🔥🔥🔥
1542874313256635,7:52,Edward Buta,"@Vele very interesting testimony, he talks the facts"
1542874314616434,7:53,Andre' Van Zyl,enca is on
1542874318133637,7:57,g k,Eskom black out
1542874385747829,9:04,Mr Q,Avuxeni
1542874457010698,10:16,Peter du Plessis,why does this lawyer look so skelm?
1542874615451916,12:54,Desmond Masilela,Morning guys
1542874627353604,13:06,Lolos Mccall,DCJ experienced
1542874648534753,13:28,Nelson Musoliwa,He is just so knowledgeable and strong minded and alerted brain. INTELLIGENT BEING indeed
1542874658656875,13:38,Desmond Masilela,Black Friday
1542874660247449,13:39,Muziwakhe Skhosana,mxm
1542874668026800,13:47,Anje ntsipho Rori,look confident Mr Fuzile will see when go
1542874677736016,13:56,Desmond Masilela,SABC black Friday!!!!
1542874739932035,14:59,holylady1000,SOUND PLS
1542874791174731,15:50,mlungisi lukhozi,awu what happening now
1542874824997004,16:24,holylady1000,POOR SIGNAL
1542874855980420,16:55,Cyril Tapile,@Nelson Musolwa he is indeed an intelligent and principled guy. He is well equipped
