timestamp,time,author,message
1567669961262804,-8:21,Epnet Streaming,Hellooooo anyone here?
1567670201917024,-4:20,Pastor J.J,no. You are all alone
1567670427034032,-0:35,Maggie Render,Not now I have arrived
1567670436191203,-0:26,JS Bach,Morning Epnet and PAstor.
1567670444317752,-0:18,JS Bach,And Maggie
1567670613943790,2:20,Hitched Channel,Lets Go SABC SAGA
1567670691478939,3:37,Epnet Streaming,SAGA is right hehehhe
1567670758334347,4:44,Epnet Streaming,You can tell how interesting this session will be by the lightweight lawyer they are using.
1567670974646429,8:20,Herbert muza Muzah,hallow everyone
1567670994514631,8:40,Jabu Nhlanhla,hi Maggie
1567671042920795,9:28,Mbombi,gud morning everybody
1567671088048091,10:14,vincent kganyago,she is very educated and very relevant the field of tv and radio
1567671148884996,11:14,Avela Mdaka,Miss Pelay have so many diplomas
1567671179459967,11:45,funicanz,"Ifundile le nzwakazi. Morning, all."
1567671233214670,12:39,mafuta,curry
1567671284536058,13:30,Pastor J.J,Brilliance.....
1567671297776047,13:43,Mkabayi kaSenzangakhona,Hlaudi was incharge isintu no following of policies abeyinduna.
1567671359057080,14:45,Mbombi,yes pls refer to him as Mr motsoeneng
1567671737027562,21:02,Mbombi,Hlaudi was leadership 🙂
1567671779118815,21:45,Mkabayi kaSenzangakhona,Hlaudi was the SABC. 😂😂😂😂
1567671818988923,22:24,gert pretorius,"😂 funny , tragically so"
1567671866272131,23:12,Nokbonga Nokxy,and the police must change and do their job very clean
1567671871539481,23:17,jeremia mphasawe,"hlaudi must be charged, he was overstepping his authority which he gets by default #grade 9 coo"
1567671931074784,24:16,Mkabayi kaSenzangakhona,Hlaudi is not grade 9.. the ancestors gave me degrees. stop saying he's grade 9. 😂😂😂
1567671953594700,24:39,jeremia mphasawe,😂 😂 😂
1567671979921684,25:05,Nokbonga Nokxy,grade 9😂😂
1567671984102843,25:09,Mkabayi kaSenzangakhona,Hlaudi attended Gupta university .
1567671988801162,25:14,Pastor J.J,@Mkabayi kaSenzangakhona You are right. Standard 9. Any difference?
1567672025348129,25:51,Kedibone Daniel,hey gys
1567672047367831,26:12,Nokbonga Nokxy,welcome
1567672056078356,26:21,Pastor J.J,@Gee Peex1 Is the N6 the name of a Freeway like the N1 or N2. He evntually did hit the Highway.hahahahaha
1567672057570785,26:22,Sabelo Mbatha,Hi ppl of SA
1567672061127596,26:27,makhosi nobhatyi,@ Gee Peex1 she is not scared of Hlaudi
1567672071519347,26:37,Nokbonga Nokxy,heyy
1567672103339886,27:09,Sabelo Mbatha,lol N6 freeway😂
1567672142452358,27:47,Sabelo Mbatha,nokxy
1567672146276112,27:51,Pastor J.J,@Gee Peex1 The man did not even pass matric. It is contained in the PP report. Where did he get an N6 from?
1567672173735966,28:19,Derek Main,Hlaudi is not right in the head.
1567672227449071,29:13,Mkabayi kaSenzangakhona,"hayi stop saying Hlaudi is not right in the head... he is a leader of a political party now, he got two votes. 😂😂😂😂"
1567672274060011,30:00,carnoth ngomane,"@Derek Main you are correct, he was consumed by greed and materialism"
1567672303506453,30:29,Mkabayi kaSenzangakhona,he was angry when he got 2 votes. he said 'I voted for Hlaudi and Hlaudi voted for Hlaudi.' 😂😂😂
1567672325309880,30:50,Pastor J.J,@Gee Peex1 But you stated it as a fact. Now support it. Where did he get a N6 from?
1567672335685861,31:00,Derek Main,@Mkabayi kaSenzangakhona 🤣 Sounds about right for Hlaudi.
1567672492140220,33:36,Lorna Kavanagh,The female kidnapper of Amy-Lee was known to parents. This will add to the unemployment of domestics that is for sure. Glad to say kidnapping is a life sentence.
1567672551933745,34:37,Pastor J.J,@Lorna Kavanagh Is it a fact the Domestic was arrested? or involved?
1567672575247698,35:00,Blessed Muya,hi gys
1567672655340887,36:21,Lorna Kavanagh,Pastor J she was arrested
1567672682311253,36:48,Lindokiuhle M it's lindoh,hope they talking about this human trafficking and this xenophobia going on we are not safe and this government is quite don't know what are they waiting for we are tired SA is no longer a country
1567672722309961,37:27,Cerebis,@Lorna Kavanagh Terrible It's a part of the vile abuse suffered by women in children in this broken country
1567672723596961,37:29,Pastor J.J,@Lorna Kavanagh Yoh thats bad. But the news channels have not indentified anyone yet.Where did you see that part of it?Just interested
1567672770519905,38:16,Pastor J.J,@Cerebis A very broken and sad country indeed mt friend
1567672776817146,38:22,Mkabayi kaSenzangakhona,"@Derek Main, you know zero about Hlaudi. he's a hero he introduced 90% local content and said now you can only play Elton John and Adele because they are from East London.. 😂😂😂😂"
1567672837233478,39:23,Slindile Ngcobo,paraphrase
1567672858113849,39:43,Lindokiuhle M it's lindoh,always a suspect😃😃
1567672893338715,40:19,Norman Zwane,"@Mkabayi kaSenzangakhona The 'two' voters who voted for Hlaudi are certainly not right in the head, if Hlaudi himself is right in the head."
1567672924599098,40:50,Lorna Kavanagh,EWN news said a female suspect has been arrested
1567672960876899,41:26,Pastor J.J,@Lorna Kavanagh Could it possibly be the childs Grandmother or Aunt?
1567673150049815,44:36,Norman Zwane,"@Mkabayi kaSenzangakhona How did Hlaudi arrive at 90%, and not 89% or 91% for instance? Sounds like a thumb-sucked number since there aren't to many things you multiply & divide that give you 90%"
1567673273633624,46:39,Pastor J.J,@Lorna Kavanagh Why so???
1567673294291673,46:59,Mpangire Richard,Thats a sign of BACKWARDNESS.
1567673310727493,47:16,Mkabayi kaSenzangakhona,"Norman Zwane, Hlaudi doesn't believe in research he probably just came up with 90%. 😂😂😂😂 he's a genius no need for research."
1567673396961850,48:42,Buti Sipho,12h00 EFF presser
1567673420985783,49:06,Norman Zwane,@Mkabayi kaSenzangakhona So the guys who were celebrating were celebrating the
1567673476112497,50:01,Norman Zwane,@African Refugee Blacc being a colour maybe?
1567673531706270,50:57,MAN-D Katelo,hello everyone here
1567673587146751,51:52,Norman Zwane,@African Refugee Black yes Blacc no
1567673616222192,52:20,Cerebis,Not interested in the EFF presser! They are part of the problem in SA.
1567673618291654,52:22,Phillip Pule,fellow south african let us unite and fight those who looted our soes the way we fight immigrants
1567673622176175,52:27,Bonisa Bonani,If Hlaudi came to this commission he would break the internet.
1567673638221530,52:44,Dorothy Milne,"African refugee, we reported JZ here for his mischief"
1567673647414855,52:52,Slindile Ngcobo,"@Jacob Zuma ...darker the chocolate, tastier the chocolate"
1567673659004509,53:04,Mbombi,yes let him we need him we need some comedy
