timestamp,time,author,message
1572333974553192,-37:00,Dembe Doyoyo,what's time they are starting
1572334471240743,-28:43,Smart Guys,what time are they starting?
1572336035254312,-2:39,Anne M.,"Supposed to be now, at 10"
1572336055632959,-2:19,Derrick saperstein,Supposed to be 10 am
1572336470389121,4:21,Dembe Doyoyo,here we go
1572336635384919,7:06,Vutomi Mkhabela,"Morning everyone i like this lady,she is my favorite adv ever"
1572336664654357,7:36,Christophe Fournier,Beautiful American accent
1572336710967580,8:21,Born free,south African accent well spoken English
1572336779221839,9:30,Born free,We should go after the Guptas
1572336925160043,11:56,Jesus Christ,amazing
1572337132216550,15:23,Jaqen H'ghar,🦏🥛
1572337387740976,19:38,Nonzy,"Mr Tsotsi, what a pun!"
1572337423993768,20:15,TSATSI,"This Lady again, feel sorry for the witness she is going to question💣"
1572337434117143,20:25,Derek Main,@Bedazzled Quite a fitting name for an ANC member.
1572337559459740,22:30,Granny Mokwena,my favourite advocate is back 🤗🤗
1572337718744388,25:10,Yolo More,New evidence leader. He looks confident. I like it.
1572337783746740,26:15,TSATSI,Adv bae
1572337843395628,27:14,Yolo More,The bae of law has arrived.
1572337869222740,27:40,Granny Mokwena,definitely bae
1572337900327795,28:11,Mikey Likesit,hey hey hey
1572337934694099,28:45,TSATSI,"Lets give her dat name, it will suit her (ADVOCATE BAE)"
1572337951807190,29:02,Rob Nel,Hopefully witness will not burst into tears
1572337953632126,29:04,Yolo More,Adv bae with a soft voice. Yummy thang.
1572337959694883,29:10,Nonzy,"All these baeble baes are too young for me. 10 years too early, 10 years too late..mnm"
1572337972856912,29:23,Danie Nilsen,speak up
1572338013213292,30:04,Anne M.,"@He lives in you I had to look it up, gives my age away 😉 It means before anyone else - referring to a boyfriend or girlfriend"
1572338021724232,30:13,Mikey Likesit,IS THAT THE RUNNING MANS PAPA
1572338041935968,30:33,Jabu Malinga,"this guy 31 years at Eskom, but we get molefe with 0 years at Eskom to be ceo????"
1572338053047736,30:44,Reinette Raubenheimer,sound @sabc please?
1572338091522351,31:22,Anne M.,Different surname @Mikey Likesit I assume you're referring to Oscar Pistorious. This man's surname is Pretorius.
1572338124459037,31:55,Murugasen Ganesh,this guy must speak up
1572338128227139,31:59,Jabu Malinga,we need to bring som guys out of retirement and who have emigrated to other countries to run Eskom. you cannot take a guy out of school really
1572338145030364,32:16,kgotso selome,sound is too soft
1572338182692349,32:54,Mikey Likesit,sounds the SAME
1572338194074736,33:05,kgotso selome,we might now really find out why we getting Load shedding
1572338203708840,33:14,Karabo motsoshi Rapotu,doubt the qualifications
