timestamp,time,author,message
1567685263955881,3:15,Mkabayi kaSenzangakhona,just bring Hlaudi please.
1567685327128772,4:17,Mutati Mpundu Tv,Wow!
1567685500853843,7:02,Bernard Matolino,Impressive witness
1567685568655215,8:14,jwarha21,i like this t shirt
1567685609549323,8:56,Bernard Matolino,@jwarha21 T-shirt?
1567685609831501,8:56,Christina Cilliers,whats this about
1567685622043024,9:08,Christina Cilliers,new lax?
1567685629138025,9:15,Christina Cilliers,law?
1567685642626842,9:29,Bernard Matolino,@Christina Cilliers SABC shenanigans
1567685672864316,9:59,Christina Cilliers,thank you
1567685722006302,10:05,jwarha21,@Lex Luger sorry meant shirt
1567685754533290,10:38,SGee373,🤘
1567685848677518,12:14,Bernard Matolino,@jwarha21 Ohh its a nice one for sure
1567685879192602,12:43,Bernard Matolino,"@Abel Matshidiso He is from Zambia, the country of gentle souls"
1567685891640731,12:55,Mkabayi kaSenzangakhona,he's from Zambia.
1567686455554064,22:19,Pastor J.J,@Thando Nkutha Any need for my services?
1567686558874960,23:42,Pheladi Lamola,Some sense of humour with this guy.
1567686639418976,24:56,Pastor J.J,@Thando Nkutha Or maybe I can consider some resurrections to appease my other friend @Gee Peex1
1567686708987348,26:17,funicanz,"@Thando Nkutha , Malema is annoying, period."
1567686760567968,26:59,puleng segane,ANC does not have aplan for South Afrcan
1567686829445039,27:58,Moshoeu Mabusela,ANC is fast running out of ideas on how to run this country. Money is the cause.
1567686950052882,29:55,Pastor J.J,@Thando Nkutha Why done we recommend @Gee Peex1 to replace Julius as soon as he enters the tronk gates which seems to be coming soon. I think @Gee Peex1 will be a very suitable replacement
1567687017047857,30:45,Wildthing,ha ha ha
1567687128894928,32:02,TY M,no its not only yours
1567687147908292,32:11,Katlego Mashego,same here
1567687149351079,32:12,Pastor J.J,SABC runnung low on data. Any sponsors?
1567687151058613,32:14,TY M,and its annoying
1567687203820430,32:57,Solly 12,Censoring
1567687233260670,33:19,Mziwethu Ntombela,guys turn to CNA it's clear there is no cuts remember this is sabc
1567687258838715,33:29,Katlego Mashego,switching
1567687282151461,33:45,Mziwethu Ntombela,yes switch to CNA
1567687282329179,33:46,Syug,CNA?
1567687361674508,34:41,Mziwethu Ntombela,ETv channel
1567687379266913,34:55,Syug,Newsagent CNA?l
1567687489285038,35:49,Pastor J.J,Just checked eNCA is a million times better with no interruptions. Bye bye. see u there
1567687899281133,43:22,Mbombi,who is this guy
1567688134563950,47:17,Mbombi,are you guys aware that eNCA gets the state capture feed from Sabc News Channel 😃 even when you go to State Capture social pages it will give you these Sabc feed
1567688302642626,50:05,Mbombi,"I use to enjoy Question Time, please bring it back"
1567688460684963,52:43,Derek Main,@Thando Nkutha I'm glad you've seen the light RE Malema. He and the EFF are fascists - the only thing we haven't seen from them YET is the goose-step.
1567688540386479,54:03,Mbombi,"this must leave, did he invite himself lol"
1567688564571109,54:27,Mbombi,he must leave
1567688828986618,58:52,Kacy John,..
1567688949273762,1:00:52,Mbombi,eish I never liked this lady
1567688977002650,1:01:20,Thapelo Mohane,Lol y
1567688999375730,1:01:42,Buti Sipho,empty hall🥱
1567689020884560,1:02:03,Mbombi,I rather watch Parliament proceedings than her
1567689089160727,1:03:12,Mbombi,I don't like any Sabc8 journalist
1567689138606264,1:04:02,Born free,A well spoken and educated lady
1567689143467785,1:04:06,Derek Main,@Thami Nobela I do - they're all heroes who stood up to a madman.
1567689162207973,1:04:25,Mbombi,😃
1567689168831558,1:04:32,Born free,She is the economics editor at SABC
1567689254963659,1:05:58,Mbombi,she's not related
1567689318625478,1:07:01,Born free,Give the woman the power to govern this country
1567689330960598,1:07:15,Born free,Power to the Woman
1567689389665042,1:08:12,Mbombi,I'm out of here il be back when she's done testifying. I'm going to watch Parliament
1567689390609181,1:08:13,Born free,She will reject you.. Jacob.. only the dumb ones marry you.
1567689408337546,1:08:31,Mkululi Mcotsho,yq0p
1567689423503107,1:08:46,Mbombi,let me block this Jacob Zuma first mxm
1567689431469767,1:08:54,Born free,We will start with the zulus
1567689472680587,1:09:35,Born free,Haha Jacob I love to be a virgin 🤣👍
