timestamp,time,author,message
1535965229880179,-7:24,Lucky123 Thwala,what time are they coming back?
1535965394173966,-4:40,hilton modike,30 minute
1535965411330902,-4:23,Lucky123 Thwala,thanks
1535965531265031,-2:23,TG Swartlane,They’re supposed to be back now@11 Mzansi time
1535965983848146,4:57,hilton modike,guy mara anc is rotten .i mean who on earth would have believed that a guy vincent smith can b corrupted like that
1535966007076356,5:21,hilton modike,going to an extent where he got paid monthly as if it was a salary
1535966059259228,6:12,Lucky123 Thwala,six hundred thousands viva smith viva
1535966206145405,8:40,hilton modike,i guess there is a former head of operations who used to work for busasa willing to tell all .about the people who were paid
1535966248681155,9:22,hilton modike,why is the hawks not arresting this people
1535966258408398,9:32,KEITH SINDILE DINABANTU,"@Lucky123 Thwala Thing is, tea is just a name, there is lots of things to eat first, snacks, muffins, yogurts , fruits... plus chatting. 😁"
1535966475881227,13:10,KEITH SINDILE DINABANTU,"@Lucky123 Thwala I am sorry, you happen to have ideas that appeal as i come in. 600k story by Smith is shocking to me! I was looking forward for Sunday to see this corrupt ANC MP, BOOM, its Smith."
1535966517383512,13:51,hilton modike,iyho 😷😷
1535966581609459,14:55,KEITH SINDILE DINABANTU,@hilton modike Hawks are still trying to entangle themselves from state capture. They were deep in the state capture ditch as well.
1535966670973231,16:25,mfumo walter maluleke,what is this issue about vincent smith. Please fill me in
1535966714682574,17:08,hilton modike,@keith sindile dinabantu i have a feeling that zuma was right when he said he will expose most of the politicians who stole so much .its will take 10 years 4 the Anc 2 clean itself
1535966717893072,17:10,Marvel Mushavhela,"Are there any high profile cases that Hawks persued, charge and win exept being corrupt?"
1535966775309474,18:09,fernando visagie,"Just one question , will the spin doctor Jimmy be summoned to appear before the commission and also charged with interfering with witnesses?"
1535966855290261,19:28,hilton modike,@mfumo Maluleke nwana mhani there was a corrupt tender given to bosasa at the airport and they were paying vincent smith R670000.00 & they did his security upgrade @his home 4 free .at a cost of k200
1535967049843169,22:44,Francois Cape Town,"They should also ask Cyril Ramaphosa what he knew about state capture, and why he didn't do anything about it. It was in the news for years and years."
1535967121568030,23:55,hilton modike,the guptas were real mafias the story that they employed fikile mbalula to b a sports miniter came up again on weekend .i guess made it a point that they put dirts on all the ministers
1535967169398439,24:43,Floyd Nkuna,The position was vacant for 6 years cause the Guptas were still looking for a stooge.
1535967255030565,26:09,Amanda Watson,"What happened was the always accessible, friendly, and professional Phumla was no longer accessible to journalists."
1535967297957618,26:51,hilton modike,cyril ramaphosa have got a women to work with i c a courageous women like thuli madonsela in her .this women was bullied so much & never succumbed
1535967398485316,28:32,hilton modike,@amanda watson i guess there was a way that she could be accessible with all this pressure on her .because i guess she feared that she have to explain things in a way they wanted her to
1535967520448863,30:34,hilton modike,the manner in which she was treated by faith muthambi as a women is embarassing . i cant believe that some women help men to perpetuate patriarchy against womens
1535967707571416,33:41,Black Panther Amen Kuma,OH OH
1535967773187773,34:47,Fritz Faro,Thando lots of posts vacant but unemployment is high?? Eish! Talking of efficiency?
1535967826256978,35:40,Black Panther Amen Kuma,👀 UMM
1535967830950128,35:45,Phineas Motaung,with all this evidence why dont we have these officials being on the dock. We were made to believe that the inquiry wont stop prosecutions but nothing is forthcoming.
1535967883906615,36:38,Black Panther Amen Kuma,SOMETHING BIG SHE IS COOKING
1535967978513434,38:12,Sharing Fam Space,ayikho iphunga yehlathi isizulu sisho njalo kuthen abantu abamnama besenza nje
1535968007720697,38:41,Gambu,A 6 year vacancy on a country with so much unemployment.😒
1535968049847681,39:24,hilton modike,"to.all the womens in this country ,why dont u guys isolate people like muthambi because they are not part of u"
1535968067948992,39:42,Phineas Motaung,I don't say they must be sent to jail but this evidence should be running parallel with evidence before a judge.
1535968128026436,40:42,Phineas Motaung,Remember this evidence is evidence before court yet.
1535968173120254,41:26,Madluphuthu,"I said it on Friday and I'm going to say it again, I sense a lot of anger from Ms. Williams due to the manner in which she was treated. Therefore, I would take her averments with a pinch of salt."
1535968182147821,41:35,Phineas Motaung,No Thando you dont seem to understand.
1535968242885166,42:36,Nicky majiya,I like Me Williams
1535968254180452,42:48,Phineas Motaung,Gupta leaks were enough prima facie evidence and readonable prospects of prosecution.
1535968289210031,43:22,Phineas Motaung,successful prosecution
1535968350869977,44:25,Phineas Motaung,did anyone implicated deny authenticity of allegations
1535968419299011,45:33,Nicky majiya,so detailed
1535968436341379,45:50,Phineas Motaung,the only denial was that Saxonwold could have been a shebeen
1535968523441761,47:17,Nicky majiya,Is she still there at GCIS ?
1535968535725479,47:29,J Ganasan,"the lawyer is so cute. if she was questioning me, i'll tell her everything"
1535968556916856,47:50,Phineas Motaung,No Thando Hawks is the investigating unit not the commission
1535968593360184,48:27,Jp Mubita,@J Ganasan I'm sure you would.....lol
1535968631652404,49:04,J Ganasan,so you were sidelined from your position os DDG - maybe were incompetent
